source,target,type,unit,data-source,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,value100
Hydro,Industrial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.04,75.54,6.94E+01,63.1,61.54,56.51,55.68,38.15,36.75,35.52,37.16,37,38.81,35.84,35.99,33.91,33.77,32.76,33.14,35.79,35.17,34.22,34.04,33.75,34.42,34.77,33.2,32.32,33.37,32.6,31.56,34.09,32.84,33.04,33.05,33.26,33,33.02,33.02,32.94,32.64,28.4,30.95,29.68,30.51,29.59,62.19,54.7,60.77,58.06,54.54,48.66,42.18,32.5,38.91,42.75,32.54,31.95,28.76,15.72,16.51,18.24,16.27,17.48,22.39,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Industrial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.9,2.1,2.2,2.4,2.8,3,2.9,3.1,3,4.1,4.4,4.76,4.79,3.4,3.8,4.3,4.4,4.7,5,4.2,4.2,4.2,4.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Industrial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.14,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Industrial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.18,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass,Industrial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.04,468.29,532.24,552.93,551.66,565.9,576.2,631.14,661.41,616.43,619.65,691.97,679.86,695.41,728.18,774.84,826.74,854.94,901.92,894.66,981.95,1014.23,1018.91,1040,1112.67,1164.85,1159.074,1063.27,1219.876,1281.245,1400.424,1404.862,1600,1694.665,1649.682,1874.435,1918.254,1917.674,1914.901,1913.881,1989.102,1840.751,1684.186,1651.984,1704.533,1740.708,1862.384,1934.272,1969.032,1995.998,1871.691,1881.523,1881.484,1681.425,1675.978,1678.862,1816.561,1836.921,1896.67,1944.339,2025.544,1962.528,2200.601,2260.995,2237.945,2197.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,Transportation,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.05,1727.246,1.56E+03,1378.693,984.04,732.992,461.404,421.262,339.821,241.264,115.156,87.83,74.959,18.927,16.874,16.421,17.403,15.972,14.754,11.227,10.014,7.426,6.849,4.693,3.676,2.62,1.794,0.538,0.27,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,Transportation,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.05,,1.30E+02,199.233,214.459,238.375,238.687,253.83,306.331,309.708,323.149,361.575,359.223,390.823,395.883,436.92,449.508,516.541,553.02,594.176,609.285,650.522,744.553,765.612,786.842,742.741,684.843,594.622,558.741,542.79,538.938,611.781,649.853,658.383,611.918,505.233,544.617,519.383,499.107,535.264,631.715,648.817,679.889,620.324,608.106,644.729,708.538,723.952,736.886,780.312,666.097,675.335,671.991,658.046,698.916,627.446,601.955,623.903,624.975,663.462,692.134,714.872,718.952,733.548,777.174,794.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,Transportation,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.05,6152.263,6.69E+03,7355.557,7708.392,8058.689,8122.461,8799.335,9144.169,9285.722,9513.7,9848.209,10125.41,10323.98,10772.13,11166.69,11496.33,11866.19,12499.75,13112.79,14211.93,14813.3,15310.49,15924.03,16891.62,17831.86,17400.54,17615.33,18507.66,19243.22,20043.82,19825.47,19009.25,18812.66,18421.97,18595.15,19022.7,19472.35,20183.38,20817.44,21567.76,21707.21,21625.9,21374.41,21674.9,21976.71,22497.35,22954.62,23565.07,23812.89,24422.17,25098.2,25681.65,25412.35,25912.7,25987.31,26924.96,27308.81,27650.87,27763.17,26230.19,25375.33,25683.26,25263.9,24751.31,24895.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass,Transportation,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T02.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.723,18.285,33.72,41.265,49.738,57.437,66.071,67.125,68.091,60.421,70.095,79.746,93.66,104.84,112.49,80.661,101.966,112.843,117.795,134.887,142.132,169.675,229.81,289.715,339.016,474.995,601.922,824.576,934.964,1074.536,1158.032,1159.38,1243.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Generation,Electric Grid,Coal,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,462.1790196,5.27E+02,6.32E+02,666.8577001,746.7345708,816.0000222,1028.292214,1155.021884,1181.918773,1175.024882,1291.236967,1375.323055,1439.482578,1536.314039,1685.347855,1795.57129,1948.080372,2093.262904,2151.298656,2336.991498,2408.976085,2403.493797,2433.206727,2631.209211,2892.306971,2826.730386,2909.827295,3222.395846,3361.7054,3329.37024,3668.178501,3963.414056,4105.499046,4067.286472,4297.33306,4578.005594,4784.259319,4728.651647,4994.628087,5256.926239,5331.01407,5364.258566,5353.124748,5451.626452,5682.799048,5685.569707,5753.061868,6046.222841,6212.697819,6313.120559,6341.867852,6630.169935,6424.468977,6519.282156,6662.936731,6678.202653,6797.170383,6721.021618,6818.789712,6717.954103,5940.958271,6236.500919,5861.687397,5120.113008,5364.497416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
